name_en,name_ar,short_description_en,short_description_ar,description_en,description_ar,total_quantity,sku,price,expiry_alarm_before,brand_id,active,free_shipping,allow_review,slug,vendor_id,image_url,final_price
"Samsung RT43K6300BS/MR Digital Refrigerator, 441 Liter - Black",ثلاجة ديجيتال من سامسونج RT43K6300BS/MR، 441 لتر - اسود,"Samsung RT43K6300BS/MR Digital Refrigerator, 441 Liter - Black",ثلاجة ديجيتال من سامسونج RT43K6300BS/MR، 441 لتر - اسود,Brand: Samsung<br>Manufacturer Number: RT43K6300BS<br>Color: Black<br>Package thickness: 85 centimeters<br>Depth: 726 millimeters<br>Package weight in KGs: 90000 grams<br>Height: 1785 millimeters<br>Width: 700 millimeters<br>Material: Metal<br>Model Number: RT43K6300BS<br>Capacity: 441 Liters<br>Style: Freezer on Top<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 180 centimeters<br>Package Width: 90 centimeters<br>External Product ID: 8806090080645<br>Serial Scan Required: <br>Item EAN: 2725598221269<br>Shipping Weight: 80 Kilograms<br>,الرقم المصنعي: RT43K6300BS<br>حزمة سمك: 85 centimeters<br>وزن الحزمة: 90000 grams<br>السعة: 441 Liters<br>العلامة التجارية: سامسونج<br>اللون: اسود<br>العمق: 726 ملليمتر<br>ارتفاع: 1785 ملليمتر<br>العرض: 700 ملليمتر<br>المادة: معدن<br>رقم الموديل: RT43K6300BS<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 8806090080645<br>الرقم المميز للسلعة: 2725598221269<br>وزن الشحن: 80 كيلوجرام<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,84,1813097508,16299,30,57,1,0,1,Samsung-RT43K6300BS-MR-Digital-Refrigerator-441-Liter-Black,2,/images/24214/item_XXL_131043990_98e09d36c776e.jpg,16299
"Samsung RT38K5000SP/MR Refrigerator - 384 L, Silver",ثلاجه 384 لتر RT38K5000SP/MR من سامسونج - فضى,"Samsung RT38K5000SP/MR Refrigerator - 384 L, Silver",ثلاجه 384 لتر RT38K5000SP/MR من سامسونج - فضى,Brand: Samsung<br>Color: Silver<br>Package thickness: 80 centimeters<br>Package weight in KGs: 70000 grams<br>Height: 1840 mm<br>Width: 675 mm<br>Material: Stainless Steel<br>Depth: 706 mm<br>Model Number: RT38K5000SP/MR<br>Capacity: 384 Litre<br>Style: Freezer on Top<br>EAN-13: 8806088147208<br>Expirable: <br>Package height: 170 centimeters<br>Package Width: 90 centimeters<br>Serial Scan Required: <br>Item EAN: 2724333370057<br>Shipping Weight: 73 Kg<br>,حزمة سمك: 80 centimeters<br>وزن الحزمة: 70000 grams<br>عمق: 706 mm<br>السعة: 384 Litre<br>EAN-13: 8806088147208<br>العلامة التجارية: سامسونج<br>اللون: فضي<br>ارتفاع: 1840 ملم<br>العرض: 675  مم<br>المادة: ستانلس ستيل<br>رقم الموديل: RT38K5000SP/MR<br>النمط: فريزر علوي<br>الرقم المميز للسلعة: 2724333370057<br>وزن الشحن: 73 Kg<br>,100,6645559459,13445,30,57,1,0,1,Samsung-RT38K5000SP-MR-Refrigerator-384-L-Silver,2,/images/24215/item_XXL_11198536_15562550.jpg,13445
"Sharp SJ-48C(CH) No Frost Refrigerator with 2 Doors, 384 Liters, Champaign",ثلاجة نوفروست 2 باب من شارب SJ-48C‫(CH)، 384 لتر، شامبين,"Sharp SJ-48C(CH) No Frost Refrigerator with 2 Doors, 384 Liters, Champaign",ثلاجة نوفروست 2 باب من شارب SJ-48C‫(CH)، 384 لتر، شامبين,Brand: SHARP<br>Manufacturer Number: SJ-48C(CH)<br>Color: Champaign<br>Package thickness: 44 centimeters<br>Depth: 680 mm<br>Package weight in KGs: 44000 grams<br>Height: 1670 mm<br>Width: 645 mm<br>Material: Metal<br>Model Number: SJ-48C(CH)<br>Capacity: 384 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127005615<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 250 centimeters<br>Package Width: 44 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724330377172<br>Shipping Weight: 73 kg<br>,الرقم المصنعي: SJ-48C(CH)<br>حزمة سمك: 44 centimeters<br>وزن الحزمة: 44000 grams<br>عمق: 680 mm<br>السعة: 384 Liter<br>EAN-13: 6221127005615<br>العلامة التجارية: شارب<br>اللون: شامبين<br>العمق: 680 ملم<br>ارتفاع: 1670 ملم<br>العرض: 645 ملم<br>المادة: معدن<br>رقم الموديل: SJ-48C(CH)<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: غير متاح<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724330377172<br>وزن الشحن: 73 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,3974550160,7999,30,1,1,0,1,Sharp-SJ-48C-CH-No-Frost-Refrigerator-with-2-Doors-384-Liters-Champaign,1,/images/24220/item_XXL_10917017_14838623.jpg,7999
"Sharp SJ-PV69G-BK No Frost Digital Inverter Refrigerator, 538 Liters, 2 Doors - Black",ثلاجة ديجيتال انفرتر نوفروست ببابين من شارب SJ-PV69G-BK، 538 لتر - اسود,"Sharp SJ-PV69G-BK No Frost Digital Inverter Refrigerator, 538 Liters, 2 Doors - Black",ثلاجة ديجيتال انفرتر نوفروست ببابين من شارب SJ-PV69G-BK، 538 لتر - اسود,Brand: Sharp<br>Manufacturer Number: SJ-PV69G-BK<br>Color: Black<br>Package thickness: 65 centimeters<br>Depth: 740 mm<br>Package weight in KGs: 98000 grams<br>Height: 1770 mm<br>Width: 800 mm<br>Material: Metal<br>Model Number: SJ-PV69G-BK<br>Capacity: 538 Liters<br>Style: Freezer on Top<br>EAN-13: 6221127020878<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 180 centimeters<br>Package Width: 75 centimeters<br>External Product ID: 6221127020878<br>Serial Scan Required: <br>Item EAN: 2725449451746<br>Shipping Weight: 90 kg<br>,الرقم المصنعي: SJ-PV69G-BK<br>حزمة سمك: 65 centimeters<br>وزن الحزمة: 98000 grams<br>السعة: 538 Liters<br>EAN-13: 6221127020878<br>العلامة التجارية: شارب<br>اللون: اسود<br>العمق: 740 ملم<br>ارتفاع: 1770 ملم<br>العرض: 800 ملم<br>المادة: معدن<br>رقم الموديل: SJ-PV69G-BK<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6221127020878<br>الرقم المميز للسلعة: 2725449451746<br>وزن الشحن: 538 لتر<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,0,9097968482,21999,30,1,1,0,1,Sharp-SJ-PV69G-BK-No-Frost-Digital-Inverter-Refrigerator-538-Liters-2-Doors-Black,1,/images/24221/item_XXL_116243109_3ed4f37066b4d.jpg,21999
"Sharp SJ-GV69G-RD Digital Inverter No Frost Refrigerator with 2 Doors, 538 Liters - Red",ثلاجة نوفروست ديجيتال انفرتر ببابين من شارب SJ-GV69G-RD، 538 لتر - احمر,"Sharp SJ-GV69G-RD Digital Inverter No Frost Refrigerator with 2 Doors, 538 Liters - Red",ثلاجة نوفروست ديجيتال انفرتر ببابين من شارب SJ-GV69G-RD، 538 لتر - احمر,Brand: Sharp<br>Manufacturer Number: SJ-GV69G-RD<br>Color: Red<br>Package thickness: 75 centimeters<br>Depth: 740 millimeters<br>Package weight in KGs: 98000 grams<br>Height: 1770 millimeters<br>Width: 800 millimeters<br>Material: Metal<br>Model Number: SJ-GV69G-RD<br>Capacity: 538 liters<br>Style: Freezer on Top<br>EAN-13: 6221127020854<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 180 centimeters<br>Package Width: 75 centimeters<br>External Product ID: 6221127020854<br>Serial Scan Required: <br>Item EAN: 2725517730872<br>Shipping Weight: 90 Kilograms<br>,الرقم المصنعي: SJ-GV69G-RD<br>حزمة سمك: 75 centimeters<br>وزن الحزمة: 98000 grams<br>السعة: 538 liters<br>EAN-13: 6221127020854<br>العلامة التجارية: شارب<br>اللون: احمر<br>العمق: 740 مليمتر<br>ارتفاع: 1770 مليمتر<br>العرض: 800 مليمتر<br>المادة: معدن<br>رقم الموديل: SJ-GV69G-RD<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6221127020854<br>الرقم المميز للسلعة: 2725517730872<br>وزن الشحن: 90 كيلوجرام<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,95,1668432029,15480,30,1,1,0,1,Sharp-SJ-GV69G-RD-Digital-Inverter-No-Frost-Refrigerator-with-2-Doors-538-Liters-Red,1,/images/24222/item_XXL_123010360_fbb11154b0cb9.jpg,15480
"Sharp SJ-PV69G-ST No Frost Digital Inverter Refrigerator, 538 Liters - 2 Doors, Silver",ثلاجة ديجيتال نوفروست ببابين ومحرك انفرتر من شارب SJ-PV69G-ST، 538 لتر - فضي,"Sharp SJ-PV69G-ST No Frost Digital Inverter Refrigerator, 538 Liters - 2 Doors, Silver",ثلاجة ديجيتال نوفروست ببابين ومحرك انفرتر من شارب SJ-PV69G-ST، 538 لتر - فضي,Brand: Sharp<br>Manufacturer Number: SJ-PV69G-ST<br>Color: Silver<br>Package thickness: 65 centimeters<br>Depth: 740 millimeters<br>Package weight in KGs: 95000 grams<br>Height: 1770 millimeters<br>Width: 800 millimeters<br>Material: Stainless Steel<br>Model Number: SJ-PV69G-ST<br>Capacity: 538 liters<br>Style: Freezer on Top<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 130 centimeters<br>Package Width: 65 centimeters<br>External Product ID: 6221127020861<br>Serial Scan Required: <br>Item EAN: 2725516114253<br>Shipping Weight: 91 kilograms<br>,الرقم المصنعي: SJ-PV69G-ST<br>حزمة سمك: 65 centimeters<br>وزن الحزمة: 95000 grams<br>السعة: 538 liters<br>العلامة التجارية: شارب<br>اللون: فضي<br>العمق: 740 مليمتر<br>ارتفاع: 1770 مليمتر<br>العرض: 800 مليمتر<br>المادة: فولاذ مقاوم للصدأ<br>رقم الموديل: SJ-PV69G-ST<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6221127020861<br>الرقم المميز للسلعة: 2725516114253<br>وزن الشحن: 91 كيلوجرام<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,1133277729,12888.2,30,1,1,0,1,Sharp-SJ-PV69G-ST-No-Frost-Digital-Inverter-Refrigerator-538-Liters-2-Doors-Silver,1,/images/24225/item_XXL_122864967_971d6c176a38b.jpg,12888.2
"Tornado RF-58T-BK No Frost Refrigerator, 450 Liters , 2 Doors - Black",ثلاجة انفرتر نوفروست ببابين من تورنيدو RF-58T-BK، 450 لتر - اسود,"Tornado RF-58T-BK No Frost Refrigerator, 450 Liters , 2 Doors - Black",ثلاجة انفرتر نوفروست ببابين من تورنيدو RF-58T-BK، 450 لتر - اسود,Brand: Tornado<br>Manufacturer Number: RF-58T-BK<br>Color: Black<br>Package thickness: 55 centimeters<br>Depth: 720 mm<br>Package weight in KGs: 60000 grams<br>Height: 1670 mm<br>Width: 700 mm<br>Material: Metal<br>Model Number: RF-58T-BK<br>Capacity: 450 Liters<br>Style: Freezer on Top<br>EAN-13: 6221127020823<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 160 centimeters<br>Package Width: 55 centimeters<br>External Product ID: 6221127020823<br>Serial Scan Required: <br>Item EAN: 2725449451821<br>Shipping Weight: 80 kg<br>,الرقم المصنعي: RF-58T-BK<br>حزمة سمك: 55 centimeters<br>وزن الحزمة: 60000 grams<br>السعة: 450 Liters<br>EAN-13: 6221127020823<br>العلامة التجارية: تورنيدو<br>اللون: اسود<br>العمق: 720 ملم<br>ارتفاع: 1670 ملم<br>العرض: 700 ملم<br>المادة: معدن<br>رقم الموديل: RF-58T-BK<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6221127020823<br>الرقم المميز للسلعة: 2725449451821<br>وزن الشحن: 450 لتر<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,8656115454,7999,30,2,1,0,1,Tornado-RF-58T-BK-No-Frost-Refrigerator-450-Liters-2-Doors-Black,1,/images/24228/item_XXL_116243113_cf15894c8918a.jpg,7999
"Toshiba GR-EF40P-J-S No Frost Refrigerator With 2 Doors and Circular handle, 378 Liters, Silver",ثلاجة نوفروست 2 باب بمقبض دائري من توشيبا GR-EF40P-J-S، 378 لتر، فضي,"Toshiba GR-EF40P-J-S No Frost Refrigerator With 2 Doors and Circular handle, 378 Liters, Silver",ثلاجة نوفروست 2 باب بمقبض دائري من توشيبا GR-EF40P-J-S، 378 لتر، فضي,Brand: Toshiba<br>Manufacturer Number: GR-EF40P-J<br>Color: Silver<br>Package thickness: 44 centimeters<br>Depth: 684 mm<br>Package weight in KGs: 55000 grams<br>Height: 1603 mm<br>Width: 665 mm<br>Material: Metal<br>Model Number: GR-EF40P-J-S<br>Capacity: 378 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127002775<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 210 centimeters<br>Package Width: 44 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724330001886<br>Shipping Weight: 73 kg<br>,الرقم المصنعي: GR-EF40P-J<br>حزمة سمك: 44 centimeters<br>وزن الحزمة: 55000 grams<br>عمق: 684 mm<br>السعة: 378 Liter<br>EAN-13: 6221127002775<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 684 ملم<br>ارتفاع: 1603 ملم<br>العرض: 665 ملم<br>المادة: معدن<br>رقم الموديل: GR-EF40P-J-S<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: غير متاح<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724330001886<br>وزن الشحن: 73 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,3252485658,6998,30,65,1,0,1,Toshiba-GR-EF40P-J-S-No-Frost-Refrigerator-With-2-Doors-and-Circular-handle-378-Liters-Silver,1,/images/24229/item_XXL_10880063_65b03e5179eab.jpg,6998
"Toshiba GR-EFV45-S No Frost Refrigerator with 3 Doors, 395 Liters, Silver",ثلاجة نوفروست 3 باب من توشيبا GR-EFV45-S، 395 لتر، فضي,"Toshiba GR-EFV45-S No Frost Refrigerator with 3 Doors, 395 Liters, Silver",ثلاجة نوفروست 3 باب من توشيبا GR-EFV45-S، 395 لتر، فضي,Brand: Toshiba<br>Manufacturer Number: GR-EFV45-S<br>Color: Silver<br>Package thickness: 33 centimeters<br>Depth: 684 mm<br>Package weight in KGs: 55000 grams<br>Height: 1753 mm<br>Width: 665 mm<br>Material: Metal<br>Model Number: GR-EFV45-S<br>Capacity: 395 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127002768<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 210 centimeters<br>Package Width: 44 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724330376809<br>Shipping Weight: 81 kg<br>,الرقم المصنعي: GR-EFV45-S<br>حزمة سمك: 33 centimeters<br>وزن الحزمة: 55000 grams<br>عمق: 684 mm<br>السعة: 395 Liter<br>EAN-13: 6221127002768<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 684 ملم<br>ارتفاع: 1753 ملم<br>العرض: 665 ملم<br>المادة: معدن<br>رقم الموديل: GR-EFV45-S<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: Not Available<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724330376809<br>وزن الشحن: 81 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,4085598693,7499,30,65,1,0,1,Toshiba-GR-EFV45-S-No-Frost-Refrigerator-with-3-Doors-395-Liters-Silver,1,/images/24230/item_XXL_10916982_14838557.jpg,7499
"Toshiba GR-EF51Z-DS Refrigerator inverter - Stainless, 419 liter",ثلاجة انفرتر من توشيبا GR-EF51Z-DS - ستانلس، 419 لتر,"Toshiba GR-EF51Z-DS Refrigerator inverter - Stainless, 419 liter",ثلاجة انفرتر من توشيبا GR-EF51Z-DS - ستانلس، 419 لتر,Brand: Toshiba<br>Manufacturer Number: GR-EF51Z-DS<br>Color: Silver<br>Package thickness: 65 centimeters<br>Depth: 717 millimeters<br>Package weight in KGs: 85000 grams<br>Height: 1770 millimeters<br>Width: 680 millimeters<br>Material: Metal<br>Model Number: GR-EF51Z-DS<br>Capacity: 419 liters<br>Style: Freezer on Top<br>EAN-13: 6221127018363<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 175 centimeters<br>Package Width: 70 centimeters<br>External Product ID: 6221127018363<br>Serial Scan Required: <br>Item EAN: 2724598294389<br>Shipping Weight: 78 kilograms<br>,الرقم المصنعي: GR-EF51Z-DS<br>حزمة سمك: 65 centimeters<br>وزن الحزمة: 85000 grams<br>السعة: 419 liters<br>EAN-13: 6221127018363<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 680 ملليمتر<br>ارتفاع: 1770 ملليمتر<br>العرض: 717 ملليمتر<br>المادة: معدن<br>رقم الموديل: GR-EF51Z-DS<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6221127018363<br>الرقم المميز للسلعة: 2724598294389<br>وزن الشحن: 78 كيلوجرام<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,4843162927,9090,30,65,1,0,1,Toshiba-GR-EF51Z-DS-Refrigerator-inverter-Stainless-419-liter,1,/images/24231/item_XXL_32919561_125718506.jpg,9090
"Toshiba GR-EF31-S No Frost Refrigerator with 2 Doors, 296 Liters, Silver",ثلاجة نوفروست 2 باب من توشيبا GR-EF31-S، 296 لتر، فضي,"Toshiba GR-EF31-S No Frost Refrigerator with 2 Doors, 296 Liters, Silver",ثلاجة نوفروست 2 باب من توشيبا GR-EF31-S، 296 لتر، فضي,Brand: Toshiba<br>Manufacturer Number: GR-EF31-S<br>Color: Silver<br>Package thickness: 55 centimeters<br>Depth: 691 mm<br>Package weight in KGs: 50000 grams<br>Height: 1501 mm<br>Width: 604 mm<br>Material: Metal<br>Model Number: GR-EF31-S<br>Capacity: 296 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127002683<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 240 centimeters<br>Package Width: 66 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724330279544<br>Shipping Weight: 60 Kg<br>,الرقم المصنعي: GR-EF31-S<br>حزمة سمك: 55 centimeters<br>وزن الحزمة: 50000 grams<br>عمق: 691 mm<br>السعة: 296 Liter<br>EAN-13: 6221127002683<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 681 ملم<br>ارتفاع: 1501 ملم<br>العرض: 604 ملم<br>المادة: معدن<br>رقم الموديل: GR-EF31-S<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: Not Available<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724330279544<br>وزن الشحن: 60 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,6833372243,4720,30,65,1,0,1,Toshiba-GR-EF31-S-No-Frost-Refrigerator-with-2-Doors-296-Liters-Silver,1,/images/24232/item_XXL_10907417_93ae51094c607.jpg,4720
"Toshiba GR-EF37-S No Frost Refrigerator with 2 Doors, 349 Liters, Silver",ثلاجة نوفروست 2 باب من توشيبا GR-EF37-S، 349 لتر، فضي,"Toshiba GR-EF37-S No Frost Refrigerator with 2 Doors, 349 Liters, Silver",ثلاجة نوفروست 2 باب من توشيبا GR-EF37-S، 349 لتر، فضي,Brand: Toshiba<br>Manufacturer Number: GR-EF37-S<br>Color: Silver<br>Package thickness: 60 centimeters<br>Depth: 681 mm<br>Package weight in KGs: 50000 grams<br>Height: 1723 mm<br>Width: 604 mm<br>Material: Metal<br>Model Number: GR-EF37-S<br>Capacity: 349 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127002713<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 199 centimeters<br>Package Width: 60 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724330376823<br>Shipping Weight: 71 kg<br>,الرقم المصنعي: GR-EF37-S<br>حزمة سمك: 60 centimeters<br>وزن الحزمة: 50000 grams<br>عمق: 681 mm<br>السعة: 349 Liter<br>EAN-13: 6221127002713<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 681 ملم<br>ارتفاع: 1723 ملم<br>العرض: 604 ملم<br>المادة: معدن<br>رقم الموديل: GR-EF37-S<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: Not Available<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724330376823<br>وزن الشحن: 71 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,2686987616,6999,30,65,1,0,1,Toshiba-GR-EF37-S-No-Frost-Refrigerator-with-2-Doors-349-Liters-Silver,1,/images/24233/item_XXL_10916981_44340e935ca05.jpg,6999
"Toshiba GR-EF46Z-DS Inverter No Frost Refrigerator with 2 Doors, 377 Liters, Stainless",ثلاجة انفرتر نوفروست 2 باب من توشيبا GR-EF46Z-DS، 377 لتر، ستانلس,"Toshiba GR-EF46Z-DS Inverter No Frost Refrigerator with 2 Doors, 377 Liters, Stainless",ثلاجة انفرتر نوفروست 2 باب من توشيبا GR-EF46Z-DS، 377 لتر، ستانلس,Brand: Toshiba<br>Manufacturer Number: GR-EF46Z-DS<br>Color: Stainless<br>Package thickness: 85 centimeters<br>Depth: 717 mm<br>Package weight in KGs: 85000 grams<br>Height: 1610 mm<br>Width: 680 mm<br>Material: Metal<br>Model Number: GR-EF46Z-DS<br>Capacity: 377 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127013559<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 180 centimeters<br>Package Width: 90 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724444205699<br>Shipping Weight: 79 kg<br>,الرقم المصنعي: GR-EF46Z-DS<br>حزمة سمك: 85 centimeters<br>وزن الحزمة: 85000 grams<br>السعة: 377 Liter<br>EAN-13: 6221127013559<br>العلامة التجارية: توشيبا<br>اللون: استانلس<br>العمق: 717 ملم<br>ارتفاع: 1610 ملم<br>العرض: 680 ملم<br>المادة: معدن<br>رقم الموديل: GR-EF46Z-DS<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: غير متاح<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724444205699<br>وزن الشحن: 79 كغ<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,8148480769,7190,30,65,1,0,1,Toshiba-GR-EF46Z-DS-Inverter-No-Frost-Refrigerator-with-2-Doors-377-Liters-Stainless,1,/images/24234/item_XXL_22205736_29753372.jpg,7190
"Toshiba GR-EF40P-R-S Refrigerator No Frost with 2 Flat Doors, 378 Liter - Silver",ثلاجة نوفروست 378 لتر 2 باب فلات من توشيبا GR-EF40P-R-S - فضي,"Toshiba GR-EF40P-R-S Refrigerator No Frost with 2 Flat Doors, 378 Liter - Silver",ثلاجة نوفروست 378 لتر 2 باب فلات من توشيبا GR-EF40P-R-S - فضي,Brand: Toshiba<br>Manufacturer Number: GR-EF40P-R-S<br>Color: Silver<br>Package thickness: 55 centimeters<br>Depth: 732 mm<br>Package weight in KGs: 95000 grams<br>Height: 1603 mm<br>Width: 665 mm<br>Material: Metal<br>Model Number: GR-EF40P-R-S<br>Capacity: 378 Liter<br>Style: Freezer on Top<br>EAN-13: 6221127018554<br>Expirable: <br>External Product ID Type: Not Available<br>Package height: 85 centimeters<br>Package Width: 55 centimeters<br>External Product ID: 1111111111111<br>Serial Scan Required: <br>Item EAN: 2724795777012<br>Shipping Weight: 70 kg<br>,الرقم المصنعي: GR-EF40P-R-S<br>حزمة سمك: 55 centimeters<br>وزن الحزمة: 95000 grams<br>السعة: 378 Liter<br>EAN-13: 6221127018554<br>العلامة التجارية: توشيبا<br>اللون: فضي<br>العمق: 732 مم<br>ارتفاع: 1603 مم<br>العرض: 665 مم<br>المادة: معدن<br>رقم الموديل: GR-EF40P-R-S<br>النمط: فريزر علوي<br>نوع معرف المنتج الخارجي: غير متاح<br>معرف المنتج الخارجي: 1111111111111<br>الرقم المميز للسلعة: 2724795777012<br>وزن الشحن: 70 كجم<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,1848887902,7495,30,65,1,0,1,Toshiba-GR-EF40P-R-S-Refrigerator-No-Frost-with-2-Flat-Doors-378-Liter-Silver,1,/images/24235/item_XXL_51123824_d92ce40a3d22b.jpg,7495
"Electrostar LD260NFJD6 No Frost Majesta Deep Freezer, 6 Drawers, 260 L - Silver",ديب فريزر نوفروست ماجيستا من الكتروستار LD260NFJD6، 6 ادراج، 260 لتر - فضي,"Electrostar LD260NFJD6 No Frost Majesta Deep Freezer, 6 Drawers, 260 L - Silver",ديب فريزر نوفروست ماجيستا من الكتروستار LD260NFJD6، 6 ادراج، 260 لتر - فضي,Brand: Electrostar<br>Manufacturer Number: LD260NFJD6<br>Color: Silver<br>Package thickness: 75 centimeters<br>Depth: 60 Centimeters<br>Package weight in KGs: 75000 grams<br>Height: 147 Centimeters<br>Width: 71 Centimeters<br>Material: Metal<br>Model Number: LD260NFJD6<br>Capacity: 260 liters<br>Style: Upright Freezer<br>EAN-13: 6223007330336<br>Expirable: <br>External Product ID Type: EAN-13<br>Package height: 170 centimeters<br>Package Width: 85 centimeters<br>External Product ID: 6223007330336<br>Serial Scan Required: <br>Item EAN: 2725606960647<br>Shipping Weight: 50 kilograms<br>,الرقم المصنعي: LD260NFJD6<br>حزمة سمك: 75 centimeters<br>وزن الحزمة: 75000 grams<br>السعة: 260 liters<br>EAN-13: 6223007330336<br>العلامة التجارية: الكتروستار<br>اللون: فضي<br>العمق: 60 سنتيمتر<br>ارتفاع: 147 سنتيمتر<br>العرض: 71 سنتيمتر<br>المادة: معدن<br>رقم الموديل: LD260NFJD6<br>النمط: فريزر علوي جانبي<br>نوع معرف المنتج الخارجي: EAN-13<br>معرف المنتج الخارجي: 6223007330336<br>الرقم المميز للسلعة: 2725606960647<br>وزن الشحن: 50 كيلوجرام<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,100,3929006862,5499,30,592,1,0,1,Electrostar-LD260NFJD6-No-Frost-Majesta-Deep-Freezer-6-Drawers-260-L-Silver,1,/images/24236/item_XXL_131874052_515727a8f9403.jpg,5499
